date,symbol,sector_code,company_name,open,high,low,close,volume,prev_close
2021-01-21,HCAR,0801,Honda Atlas Cars,309.0,309.98,305.0,305.45,39300,308.6
2021-01-21,HGFA,0806,HBL Growth Fund,9.0,9.0,8.95,8.95,15500,9.0
2021-01-21,HIFA,0806,HBL Invest Fund,3.25,3.49,3.22,3.49,18000,3.39
2021-01-21,HINO,0801,Hinopak Motor,397.0,399.99,396.0,396.0,400,395.0
2021-01-21,HINOON,0823,Highnoon (Lab),630.0,630.0,626.0,627.83,96350,626.28
2021-01-21,HIRAT,0830,Hira Textile,4.75,4.75,4.58,4.62,510000,4.56
2021-01-21,HMB,0807,Habib Metropol.,40.85,40.85,40.07,40.1,684500,40.04
2021-01-21,HMM,0819,Habib Metro Mod,7.5,7.5,7.5,7.5,500,8.15
2021-01-21,HRPL,0826,Habib Rice Prod,33.1,33.2,33.1,33.2,4500,33.8
2021-01-21,HSM,0826,Husein Sugar,17.8,18.69,17.8,18.0,34000,18.0
2021-01-21,HTL,0821,HI-Tech Lub.,49.99,53.02,49.15,52.73,4834500,49.33
2021-01-21,HUBC,0824,Hub Power Co.,86.45,87.0,85.6,86.04,2267997,85.96
2021-01-21,HUBC-CFEB,40,HUBC-CFEB,0.0,0.0,0.0,86.98,0,86.99
2021-01-21,HUBC-CJAN,40,HUBC-CJAN,0.0,0.0,0.0,86.23,0,86.23
2021-01-21,HUBC-CMAR,40,HUBC-CMAR,0.0,0.0,0.0,87.74,0,87.74
2021-01-21,HUBC-JAN,40,HUBC-JAN,87.0,87.0,85.8,86.19,495000,86.15
2021-01-21,HUMNL,0828,Hum Network,7.7,7.77,7.02,7.22,43378000,7.54
2021-01-21,IBFL,0827,Ibrahim Fibres,101.2,101.2,100.0,100.0,3000,100.01
2021-01-21,IBLHL,0823,IBL HealthCare,110.1,115.0,110.1,113.0,38000,111.5
2021-01-21,ICI,0805,ICI Pakistan,802.17,862.0,802.17,842.05,197250,802.17
2021-01-21,ICIBL,0813,Invest Bank,2.53,2.84,2.51,2.71,1901000,2.58
2021-01-21,ICL,0805,Ittehad Chem.,37.05,37.41,36.5,36.57,768000,37.07
2021-01-21,IDRT,0830,Idrees Textile,17.0,17.2,17.0,17.0,4500,17.0
2021-01-21,IGIHL,0812,IGI Holdings,199.75,202.0,197.5,200.0,26400,198.79
2021-01-21,IGIL,0812,IGI Life Ins,47.01,48.0,47.0,47.0,1500,48.18
2021-01-21,ILP,0829,Interloop Ltd.,70.95,75.45,70.5,73.3,5222000,70.49
2021-01-21,IML,0826,Imperial Limited,31.0,31.6,30.25,30.25,38500,31.0
2021-01-21,INDU,0801,Indus Motor Co,1190.0,1203.81,1170.01,1188.62,30360,1196.75
2021-01-21,INIL,0808,Int. Ind.Ltd.,211.97,212.8,208.2,210.0,493000,210.17
2021-01-21,INIL-CFEB,40,INIL-CFEB,0.0,0.0,0.0,212.31,0,212.68
2021-01-21,INIL-CJAN,40,INIL-CJAN,0.0,0.0,0.0,210.46,0,210.83
2021-01-21,INIL-CMAR,40,INIL-CMAR,0.0,0.0,0.0,214.15,0,214.53
2021-01-21,INIL-JAN,40,INIL-JAN,212.0,213.0,208.8,210.26,160500,210.76
2021-01-21,INKL,0829,Int.Knitwear,16.76,16.76,16.76,16.76,1000,18.0
2021-01-21,ISL,0808,Inter.Steel Ltd,91.55,92.7,90.6,90.98,1350434,91.61
2021-01-21,ISL-CFEB,40,ISL-CFEB,0.0,0.0,0.0,91.98,0,92.7
2021-01-21,ISL-CJAN,40,ISL-CJAN,0.0,0.0,0.0,91.18,0,91.9
2021-01-21,ISL-CMAR,40,ISL-CMAR,0.0,0.0,0.0,92.78,0,93.51
2021-01-21,ISL-JAN,40,ISL-JAN,92.5,92.8,90.7,91.22,445000,92.0
2021-01-21,ITTEFAQ,0808,Ittefaq Iron Ind,18.6,18.99,18.49,18.6,311500,18.59
2021-01-21,JATM,0830,J.A.Textile,7.7,7.8,7.5,7.8,28500,7.5
2021-01-21,JDMT,0830,Janana D Mal,87.11,87.12,79.25,87.12,26000,81.05
2021-01-21,JDWS,0826,J.D.W.Sugar,223.0,231.1,223.0,224.67,7000,229.0
2021-01-21,JGICL,0812,Jubilee Gen.Ins,53.3,54.35,53.3,53.3,2000,53.75
2021-01-21,JKSM,0830,J.K.Spinning,48.55,48.55,48.55,48.55,1000,48.62
2021-01-21,JLICL,0812,Jubile Life Ins,389.9,390.0,380.0,380.0,5100,389.89
2021-01-21,JSBL,0807,JS Bank Ltd,7.05,7.15,6.97,7.0,2853500,6.96
2021-01-21,JSCL,0813,Jah.Sidd. Co.,30.81,32.4,30.81,31.88,20470500,30.71
2021-01-21,JSGCL,0813,JS Global Cap.,80.0,80.0,78.79,80.0,1000,78.79
2021-01-21,JSIL,0813,JS Investments,22.97,23.0,22.97,23.0,1500,22.51
2021-01-21,JSML,0826,Jauharabad SugXD,25.25,25.7,25.0,25.09,12000,25.3
2021-01-21,JUBS,0829,Jubilee Spinning,5.48,5.9,5.48,5.52,51000,5.28
2021-01-21,JVDC,0804,Javedan Corp.,23.19,24.84,23.19,24.84,41000,23.2
2021-01-21,KAPCO,0824,Kot Addu Power,41.15,42.09,41.15,41.37,8843000,41.01
2021-01-21,KAPCO-CFEB,40,KAPCO-CFEB,0.0,0.0,0.0,41.82,0,41.5
2021-01-21,KAPCO-CJAN,40,KAPCO-CJAN,0.0,0.0,0.0,41.46,0,41.14
2021-01-21,KAPCO-CMAR,40,KAPCO-CMAR,0.0,0.0,0.0,42.19,0,41.86
2021-01-21,KAPCO-JAN,40,KAPCO-JAN,40.81,42.11,40.81,41.49,1231500,41.02
2021-01-21,KEL,0824,K-Electric Ltd.,4.12,4.42,4.12,4.25,143822500,4.1
2021-01-21,KEL-CFEB,40,KEL-CFEB,0.0,0.0,0.0,4.3,0,4.15
2021-01-21,KEL-CJAN,40,KEL-CJAN,0.0,0.0,0.0,4.26,0,4.11
2021-01-21,KEL-CMAR,40,KEL-CMAR,0.0,0.0,0.0,4.33,0,4.18
2021-01-21,KEL-JAN,40,KEL-JAN,4.16,4.42,4.15,4.25,8853500,4.13
2021-01-21,KELSC5,36,K-Electric(SUKUK5),101.5,101.5,101.5,101.5761,7000,101.65
2021-01-21,KHSM,0830,Khurshid Spinning,22.86,22.86,21.27,22.86,54000,21.27
2021-01-21,KHTC,0832,Khyber Tobacco,540.75,564.0,500.0,542.81,7000,525.02
2021-01-21,KML,0829,Kohinoor Mills,38.0,38.78,37.65,38.3,8000,38.15
2021-01-21,KOHC,0804,Kohat Cement,207.98,211.75,207.0,210.3,241000,207.99
2021-01-21,KOHE,0824,Kohinoor Energy,34.25,34.25,34.0,34.0,16500,34.0
2021-01-21,KOHP,0824,Kohinoor Power,4.05,4.18,4.0,4.1,75500,4.08
2021-01-21,KOHTM,0830,Kohat Textile,17.0,17.2,17.0,17.2,3500,16.0
2021-01-21,KOIL,0829,Kohinoor Ind.,8.85,8.9,8.85,8.9,4000,8.99
2021-01-21,KOSM,0830,Kohinoor Spining,4.75,5.05,4.65,4.86,3569000,4.7
2021-01-21,KPUS,0826,Khairpur Sugar,65.48,65.48,65.48,65.48,2000,60.92
2021-01-21,KSBP,0808,K.S.B.Pumps,435.0,458.0,435.0,449.67,17400,440.0
2021-01-21,KTML,0829,Kohinoor Textile,69.0,74.16,69.0,73.75,2117500,68.99
2021-01-21,LOADS,0802,Loads LimitedXR,16.82,18.19,16.82,18.19,2622000,16.93
2021-01-21,LOTCHEM,0805,Lotte Chemical,16.55,16.76,16.21,16.3,6619500,16.49
2021-01-21,LOTCHEM-CFEB,40,LOTCHEM-CFEB,0.0,0.0,0.0,16.48,0,16.69
2021-01-21,LOTCHEM-CJAN,40,LOTCHEM-CJAN,0.0,0.0,0.0,16.34,0,16.54
2021-01-21,LOTCHEM-CMAR,40,LOTCHEM-CMAR,0.0,0.0,0.0,16.62,0,16.83
2021-01-21,LOTCHEM-JAN,40,LOTCHEM-JAN,16.6,16.83,16.26,16.38,2197500,16.54
2021-01-21,LPL,0824,Lalpir Power,18.1,18.5,18.04,18.38,409000,18.03
2021-01-21,LUCK,0804,Lucky Cement,686.5,707.0,686.5,699.47,683092,685.08
2021-01-21,LUCK-CFEB,40,LUCK-CFEB,0.0,0.0,0.0,707.15,0,693.25
2021-01-21,LUCK-CJAN,40,LUCK-CJAN,0.0,0.0,0.0,701.01,0,687.23
2021-01-21,LUCK-CMAR,40,LUCK-CMAR,0.0,0.0,0.0,713.29,0,699.28
2021-01-21,LUCK-JAN,40,LUCK-JAN,690.11,707.0,689.5,701.31,141000,687.09
2021-01-21,MACFL,0818,MACPAC Films,24.6,25.2,23.7,23.98,853500,24.51
2021-01-21,MACTER,0823,Macter Int. Ltd,163.12,183.0,163.1,183.0,13800,170.31
2021-01-21,MARI,0820,Mari Petroleum,1477.0,1490.0,1436.0,1450.6,33780,1467.88
2021-01-21,MCB,0807,MCB Bank Ltd,194.9,195.99,193.51,194.7,163975,193.41
2021-01-21,MCB-JAN,40,MCB-JAN,195.0,195.01,194.5,194.5,7000,194.0
2021-01-21,MCBAH,0813,MCB-ARIF Habib,29.0,29.0,29.0,29.0,10500,29.05
2021-01-21,MDTL,0828,Media Times Ltd,2.11,2.2,2.08,2.18,1084500,2.09
2021-01-21,MEBL,0807,Meezan Bank,111.5,114.0,111.5,113.33,607659,111.7
2021-01-21,MEBL-CFEB,40,MEBL-CFEB,0.0,0.0,0.0,114.57,0,113.03
