symbol,open,high,low,close,volume,prev_close,date
RICL,7.7,7.7,7.7,7.7,500,7.68,2021-01-21
RMPL,9700.0,10479.0,9619.0,10479.0,140,9900.0,2021-01-21
RPL,43.49,43.49,42.5,42.65,73500,42.94,2021-01-21
RUBY,7.51,7.8,7.51,7.6,14000,7.9,2021-01-21
RUPL,31.2,31.6,30.61,30.61,6500,31.4,2021-01-21
SAIF,17.0,17.15,15.61,16.85,7500,16.31,2021-01-21
SALT,300.0,318.9,300.0,318.9,200,300.46,2021-01-21
SASML,12.5,12.51,12.5,12.51,1000,12.5,2021-01-21
SAZEW,182.6,184.4,181.6,181.97,203400,182.55,2021-01-21
SBL,7.81,7.9,7.75,7.8,370000,7.85,2021-01-21
SCBPL,32.5,33.69,32.5,33.15,7500,33.0,2021-01-21
SCL,310.0,310.0,300.0,309.0,700,305.0,2021-01-21
SEARL,257.6,260.39,256.25,257.2,438522,256.54,2021-01-21
SEARL-CFEB,260.02,0.0,0.0,260.02,0,259.6,2021-01-21
SEARL-CJAN,257.76,0.0,0.0,257.76,0,257.35,2021-01-21
SEARL-CMAR,262.28,0.0,0.0,262.28,0,261.86,2021-01-21
SEARL-JAN,258.7,260.5,257.0,257.34,286,257.37,2021-01-21
SEL,16.31,16.31,16.2,16.21,17500,16.45,2021-01-21
SEPL,179.98,179.98,176.68,177.19,12500,179.02,2021-01-21
SERF,14.71,15.15,14.12,14.33,1442000,14.36,2021-01-21
SERT,16.4,16.98,16.4,16.98,51500,15.8,2021-01-21
SHCM,19.6,19.6,19.6,19.6,500,19.6,2021-01-21
SHDT,37.5,38.0,37.26,37.26,8000,37.5,2021-01-21
SHEL,209.0,209.97,204.0,204.31,271600,208.65,2021-01-21
SHELR,95.25,95.88,93.01,93.37,387500,95.42,2021-01-21
SHFA,246.0,249.0,241.0,244.8,65300,251.7,2021-01-21
SHNI,4.86,5.15,4.84,4.84,6500,5.2,2021-01-21
SHSML,94.5,94.5,92.0,92.17,42200,93.17,2021-01-21
SIEM,548.1,580.0,548.05,556.09,3450,550.33,2021-01-21
SILK,1.3,1.32,1.18,1.2,16364500,1.29,2021-01-21
SINDM,8.95,8.95,8.9,8.9,3500,8.97,2021-01-21
SITC,321.02,326.5,318.61,324.18,22500,320.54,2021-01-21
SKRS,10.6,10.8,10.32,10.41,96500,10.64,2021-01-21
SLL,3.5,3.5,3.5,3.5,500,3.49,2021-01-21
SLYT,4.69,4.7,4.5,4.5,26000,4.65,2021-01-21
SMBL,1.8,1.9,1.8,1.89,1278000,1.73,2021-01-21
SMCPL,7.57,8.23,7.55,7.86,942500,7.36,2021-01-21
SML,39.1,39.1,38.0,38.0,7000,39.01,2021-01-21
SMTM,8.5,8.5,7.86,7.93,198500,8.45,2021-01-21
SNAI,70.0,70.0,69.5,70.0,3000,70.0,2021-01-21
SNBL,10.89,10.99,10.75,10.76,92000,10.75,2021-01-21
SNGP,45.2,45.5,44.8,44.83,1349703,44.98,2021-01-21
SNGP-CFEB,45.32,0.0,0.0,45.32,0,45.52,2021-01-21
SNGP-CJAN,44.93,0.0,0.0,44.93,0,45.12,2021-01-21
SNGP-CMAR,45.72,0.0,0.0,45.72,0,45.91,2021-01-21
SNGP-JAN,45.36,45.5,44.86,44.93,273,45.01,2021-01-21
SPEL,43.9,45.0,43.5,44.63,213500,43.45,2021-01-21
SPL,26.76,27.55,26.76,27.44,313000,27.14,2021-01-21
SPLC,1.65,1.8,1.59,1.65,460500,1.54,2021-01-21
SPWL,16.03,16.03,15.7,15.81,440000,15.97,2021-01-21
SRVI,901.0,903.99,885.1,890.33,4650,899.66,2021-01-21
SSGC,15.18,15.18,14.9,14.99,423500,14.94,2021-01-21
SSGC-JAN,15.1,15.1,15.0,15.0,50,14.98,2021-01-21
SSML,10.0,11.0,10.0,11.0,313500,10.0,2021-01-21
STCL,22.81,24.15,22.8,24.0,746500,23.09,2021-01-21
STPL,18.52,19.74,18.5,19.35,6008500,18.53,2021-01-21
SURC,230.0,248.9,230.0,242.0,1400,245.0,2021-01-21
SYS,442.5,460.5,442.0,457.31,204100,446.16,2021-01-21
TATM,69.0,69.0,65.0,66.12,26000,65.52,2021-01-21
TELE,3.03,3.2,3.03,3.06,4675000,3.0,2021-01-21
TGL,88.05,90.6,88.05,88.94,438500,88.24,2021-01-21
TGL-JAN,88.9,90.7,88.49,89.19,111,88.51,2021-01-21
THALL,440.0,440.0,438.0,438.0,3300,437.9,2021-01-21
THCCL,20.99,21.65,19.62,20.07,1164000,21.0,2021-01-21
TICL,280.0,281.0,280.0,280.0,1600,280.0,2021-01-21
TOMCL,28.11,28.52,28.11,28.3,39500,28.34,2021-01-21
TPL,6.9,7.01,6.88,6.88,598500,6.91,2021-01-21
TPLP,8.99,9.12,8.99,9.0,86000,9.0,2021-01-21
TPLT,9.88,9.94,9.71,9.85,121000,9.9,2021-01-21
TREET,32.09,32.8,32.0,32.21,939500,32.05,2021-01-21
TREET-CMAR,32.85,0.0,0.0,32.85,0,32.71,2021-01-21
TREET-JAN,32.25,32.94,32.13,32.25,408,32.11,2021-01-21
TRG,107.5,110.9,106.3,109.5,17361500,107.19,2021-01-21
TRG-CFEB,110.7,0.0,0.0,110.7,0,108.47,2021-01-21
TRG-CJAN,109.74,0.0,0.0,109.74,0,107.53,2021-01-21
TRG-CMAR,111.66,0.0,0.0,111.66,0,109.41,2021-01-21
TRG-JAN,107.5,111.0,106.4,109.77,40724,107.38,2021-01-21
TRIPF,160.0,164.0,160.0,161.61,39100,161.54,2021-01-21
TRPOL,9.54,9.7,9.54,9.62,307000,9.53,2021-01-21
TRSM,3.0,3.0,3.0,3.0,500,3.13,2021-01-21
TSML,198.98,199.0,198.98,198.99,300,193.99,2021-01-21
TSPL,4.8,5.5,4.8,5.42,296000,5.22,2021-01-21
UBDL,35.9,35.9,34.44,35.03,16500,34.51,2021-01-21
UBL,138.95,140.0,138.01,138.79,3972280,138.51,2021-01-21
UBL-CFEB,140.31,0.0,0.0,140.31,0,140.16,2021-01-21
UBL-CJAN,139.09,0.0,0.0,139.09,0,138.94,2021-01-21
UBL-CMAR,141.53,0.0,0.0,141.53,0,141.38,2021-01-21
UBL-JAN,139.0,139.55,138.61,139.0,285,138.6,2021-01-21
UCAPM,1.11,1.11,1.1,1.1,16500,1.15,2021-01-21
UDPL,58.25,60.8,58.0,58.5,14500,58.25,2021-01-21
UNIC,8.07,8.3,8.02,8.15,3500,8.29,2021-01-21
UNITY,34.05,34.25,33.31,33.46,21205214,34.18,2021-01-21
